family,approach,support_ratio,seed,config_label,train_time_sec,val_inference_time_sec,test_inference_time_sec,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc,preprocess_time_sec,total_pipeline_time_sec
GCN,GCN,,1,GCN h=32 L=4 d=0.2 lr=0.005,1.3909108638763428,0.0025370121002197,0.0026168823242187,0.6666666666666666,0.6964285714285714,0.6375,0.625,0.7125,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,0.9393939393939394,0.0,1.3909108638763428
GCN,GCN,,1,GCN h=32 L=4 d=0.75 lr=0.001,1.3585941791534424,0.0025010108947753,0.0027689933776855,0.5555555555555556,0.2777777777777778,0.5,0.3571428571428571,0.7375,0.55,0.275,0.5,0.3548387096774194,0.8787878787878788,0.0,1.3585941791534424
GCN,GCN,,1,GCN h=32 L=4 d=0.75 lr=0.005,1.3594980239868164,0.0024850368499755,0.0027163028717041,0.6666666666666666,0.6964285714285714,0.6375,0.625,0.7250000000000001,0.85,0.8928571428571428,0.8333333333333333,0.8400000000000001,0.9494949494949494,0.0,1.3594980239868164
GCN,GCN,,1,GCN h=64 L=2 d=0.0 lr=0.001,1.0891950130462646,0.0021538734436035,0.0024240016937255,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7125,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.888888888888889,0.0,1.0891950130462646
GCN,GCN,,1,GCN h=64 L=2 d=0.0 lr=0.005,1.0825483798980713,0.0021440982818603,0.0025999546051025,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.65,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.9191919191919192,0.0,1.0825483798980713
GCN,GCN,,1,GCN h=64 L=2 d=0.2 lr=0.001,1.22471284866333,0.0018918514251708,0.0022029876708984,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7125,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.888888888888889,0.0,1.22471284866333
GCN,GCN,,1,GCN h=64 L=2 d=0.2 lr=0.005,1.2133631706237793,0.0018796920776367,0.0021071434020996,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.65,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9090909090909092,0.0,1.2133631706237793
GCN,GCN,,1,GCN h=64 L=2 d=0.75 lr=0.001,1.3003737926483154,0.0022447109222412,0.0024750232696533,0.6111111111111112,0.7941176470588236,0.5625,0.4814814814814814,0.7250000000000001,0.6,0.7894736842105263,0.5555555555555556,0.4666666666666667,0.9090909090909092,0.0,1.3003737926483154
GCN,GCN,,1,GCN h=64 L=2 d=0.75 lr=0.005,1.2313432693481443,0.0019309520721435,0.0022311210632324,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.9393939393939394,0.0,1.2313432693481443
GCN,GCN,,1,GCN h=64 L=3 d=0.0 lr=0.001,1.3527991771697998,0.0023908615112304,0.0023822784423828,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.6625,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.898989898989899,0.0,1.3527991771697998
GCN,GCN,,1,GCN h=64 L=3 d=0.0 lr=0.005,1.4038190841674805,0.0027358531951904,0.003058910369873,0.6111111111111112,0.6333333333333333,0.575,0.5418181818181818,0.6625,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,0.898989898989899,0.0,1.4038190841674805
GCN,GCN,,1,GCN h=64 L=3 d=0.2 lr=0.001,1.619757890701294,0.0022499561309814,0.0025637149810791,0.7222222222222222,0.8333333333333333,0.6875,0.6727272727272727,0.7250000000000001,0.75,0.84375,0.7222222222222222,0.7150997150997151,0.9292929292929292,0.0,1.619757890701294
