model_type,hidden_channels,dropout,lr,seed,test_loss,test_acc,test_f1,test_roc_auc,train_time_sec
sage,16,0.01,0.01,2,0.5881692233838534,0.6578947368421053,0.7796610169491526,0.6969230769230769,-1765286847.753487
sage,16,0.01,0.05,2,0.6148218638018558,0.7368421052631579,0.8000000000000002,0.7138461538461538,-1765286847.9127483
sage,16,0.05,0.001,2,0.6586822208605314,0.6578947368421053,0.7936507936507937,0.6969230769230769,-1765286849.8276045
sage,16,0.05,0.01,2,0.5947415169916654,0.6578947368421053,0.7796610169491526,0.6938461538461539,-1765286850.1008418
sage,16,0.05,0.05,2,0.5892196956433748,0.7105263157894737,0.819672131147541,0.7,-1765286850.662912
sage,16,0.1,0.001,2,0.6891386540312516,0.6578947368421053,0.7936507936507937,0.43538461538461537,-1765286851.459572
sage,16,0.1,0.01,2,0.5959288226930719,0.6578947368421053,0.7719298245614036,0.6907692307692308,-1765286851.692214
sage,16,0.1,0.05,2,0.6185845450351113,0.7368421052631579,0.8076923076923077,0.7061538461538461,-1765286852.081514
sage,16,0.25,0.001,2,0.6820005994094046,0.6578947368421053,0.7936507936507937,0.3923076923076923,-1765286853.7213163
sage,16,0.25,0.01,2,0.5883123592326516,0.6842105263157895,0.7999999999999999,0.7,-1765286853.81401
sage,16,0.25,0.05,2,0.6039366345656546,0.7631578947368421,0.8235294117647058,0.7107692307692307,-1765286854.4907713
sage,16,0.5,0.001,2,0.6852569172256872,0.6842105263157895,0.8064516129032258,0.6938461538461538,-1765286855.8910034
sage,16,0.5,0.01,2,0.5891449200479608,0.6578947368421053,0.7796610169491526,0.6938461538461538,-1765286856.1801112
sage,16,0.5,0.05,2,0.5928873011940404,0.6842105263157895,0.8064516129032258,0.6984615384615385,-1765286856.7725115
sage,32,0.0,0.001,2,0.6870945911658438,0.6578947368421053,0.7936507936507937,0.34615384615384615,-1765286857.6927695
sage,32,0.0,0.01,2,0.6033663749694824,0.7631578947368421,0.8235294117647058,0.7153846153846154,-1765286857.3760502
sage,32,0.0,0.05,2,0.6350998376545153,0.7105263157894737,0.7843137254901961,0.7015384615384614,-1765286858.77448
sage,32,0.01,0.001,2,0.6664332967055472,0.6578947368421053,0.7936507936507937,0.6415384615384615,-1765286860.4747121
sage,32,0.01,0.01,2,0.5975143501633092,0.6842105263157895,0.7999999999999999,0.706153846153846,-1765286860.7444859
sage,32,0.01,0.05,2,0.631202453061154,0.7105263157894737,0.7843137254901961,0.7092307692307692,-1765286861.0037386
sage,32,0.05,0.001,2,0.6831481456756592,0.6578947368421053,0.7936507936507937,0.6784615384615384,-1765286862.5111651
sage,32,0.05,0.01,2,0.5964022090560511,0.7368421052631579,0.8000000000000002,0.7107692307692307,-1765286862.0931442
sage,32,0.05,0.05,2,0.6154850219425402,0.7368421052631579,0.8076923076923077,0.7092307692307692,-1765286863.8142986
sage,32,0.1,0.001,2,0.6868953108787537,0.6578947368421053,0.7936507936507937,0.33076923076923076,-1765286865.2526088
sage,32,0.1,0.01,2,0.5912645270949916,0.6842105263157895,0.8064516129032258,0.7,-1765286865.482739
sage,32,0.1,0.05,2,0.6314945095463803,0.7105263157894737,0.7843137254901961,0.7092307692307692,-1765286865.7133448
sage,32,0.25,0.001,2,0.6869023975573088,0.6578947368421053,0.7936507936507937,0.7030769230769232,-1765286867.552953
sage,32,0.25,0.01,2,0.5981847894819159,0.6578947368421053,0.7868852459016393,0.6938461538461538,-1765286868.0177674
sage,32,0.25,0.05,2,0.6059754302627162,0.7368421052631579,0.8076923076923077,0.7092307692307692,-1765286868.2467043
sage,32,0.5,0.001,2,0.661301989304392,0.6578947368421053,0.7936507936507937,0.7338461538461538,-1765286869.9462495
sage,32,0.5,0.01,2,0.5943591280987388,0.6842105263157895,0.7999999999999999,0.7,-1765286870.0552297
sage,32,0.5,0.05,2,0.6121235646699604,0.7105263157894737,0.7755102040816326,0.7076923076923077,-1765286870.5828037
sage,64,0.0,0.001,2,0.6680967682286313,0.6578947368421053,0.7936507936507937,0.6076923076923078,-1765286872.2129138
sage,64,0.0,0.01,2,0.6175064977846647,0.7368421052631579,0.8076923076923077,0.7107692307692307,-1765286872.128128
sage,64,0.0,0.05,2,0.6283590699497023,0.7368421052631579,0.8000000000000002,0.7169230769230769,-1765286873.1789753
sage,64,0.01,0.001,2,0.5884491989487096,0.6842105263157895,0.793103448275862,0.6861538461538462,-1765286874.29508
sage,64,0.01,0.01,2,0.587790940937243,0.6842105263157895,0.793103448275862,0.7030769230769232,-1765286875.7246437
sage,64,0.01,0.05,2,0.6251728346473292,0.7368421052631579,0.8076923076923077,0.7153846153846154,-1765286875.6652172
sage,64,0.05,0.001,2,0.6490326021846972,0.6578947368421053,0.7936507936507937,0.7246153846153846,-1765286877.8264039
sage,64,0.05,0.01,2,0.5872778735662761,0.7631578947368421,0.8235294117647058,0.7153846153846154,-1765286877.4021313
sage,64,0.05,0.05,2,0.6177113369891518,0.7368421052631579,0.8076923076923077,0.7123076923076923,-1765286879.0130026
sage,64,0.1,0.001,2,0.6869427122567829,0.6578947368421053,0.7936507936507937,0.52,-1765286880.8675437
sage,64,0.1,0.01,2,0.597151003385845,0.6842105263157895,0.7999999999999999,0.6923076923076923,-1765286881.1495168
sage,64,0.1,0.05,2,0.5793418852906478,0.7631578947368421,0.8235294117647058,0.7107692307692308,-1765286881.6168816
sage,64,0.25,0.001,2,0.5879010652240954,0.6842105263157895,0.793103448275862,0.703076923076923,-1765286882.2512698
sage,64,0.25,0.01,2,0.5805964658134862,0.6578947368421053,0.7636363636363636,0.7046153846153846,-1765286883.5500438
sage,64,0.25,0.05,2,0.5956836531036779,0.7631578947368421,0.8235294117647058,0.7061538461538461,-1765286884.4911487
sage,64,0.5,0.001,2,0.6520975169382597,0.6578947368421053,0.7936507936507937,0.6846153846153846,-1765286886.049349
sage,64,0.5,0.01,2,0.6378281116485596,0.6842105263157895,0.7391304347826089,0.7153846153846153,-1765286885.5061002
sage,64,0.5,0.05,2,0.6003283450478002,0.7631578947368421,0.8235294117647058,0.7092307692307692,-1765286887.5916567
sage,128,0.0,0.001,2,0.5885194916474191,0.6578947368421053,0.7796610169491526,0.7061538461538461,-1765286888.4929628
sage,128,0.0,0.01,2,0.6138011781792891,0.6842105263157895,0.793103448275862,0.6938461538461539,-1765286889.5855882
sage,128,0.0,0.05,2,0.6260808204349718,0.7631578947368421,0.8235294117647058,0.7123076923076923,-1765286890.0520823
sage,128,0.01,0.001,2,0.6063165947010642,0.6842105263157895,0.8064516129032258,0.696923076923077,-1765286891.1844835
sage,128,0.01,0.01,2,0.6087387737474943,0.7105263157894737,0.7755102040816326,0.72,-1765286891.377178
sage,128,0.01,0.05,2,0.629309218180807,0.7368421052631579,0.8076923076923077,0.7015384615384616,-1765286892.783624
sage,128,0.05,0.001,2,0.6034500253827948,0.6842105263157895,0.8064516129032258,0.703076923076923,-1765286894.8466144
sage,128,0.05,0.01,2,0.6114049836208946,0.7368421052631579,0.8076923076923077,0.7123076923076923,-1765286894.4801977
sage,128,0.05,0.05,2,0.6098107821062991,0.7105263157894737,0.7843137254901961,0.7153846153846154,-1765286897.943527
sage,128,0.1,0.001,2,0.5918869187957362,0.6578947368421053,0.7796610169491526,0.7000000000000001,-1765286898.84226
sage,128,0.1,0.01,2,0.6086883042988024,0.7631578947368421,0.8235294117647058,0.7092307692307692,-1765286899.4926176
sage,128,0.1,0.05,2,0.6162176383169073,0.7631578947368421,0.8235294117647058,0.7061538461538461,-1765286901.6491034
sage,128,0.25,0.001,2,0.5907376534060428,0.6578947368421053,0.7796610169491526,0.7015384615384614,-1765286902.4527764
sage,128,0.25,0.01,2,0.6012321302765294,0.7631578947368421,0.8235294117647058,0.7138461538461539,-1765286902.6684089
sage,128,0.25,0.05,2,0.6144595710854781,0.7631578947368421,0.8235294117647058,0.7123076923076923,-1765286905.3576012
sage,128,0.5,0.001,2,0.5982393245947989,0.631578947368421,0.7586206896551725,0.6953846153846154,-1765286906.3168266
sage,128,0.5,0.01,2,0.5929852033916273,0.6842105263157895,0.8064516129032258,0.6953846153846154,-1765286907.4542904
sage,128,0.5,0.05,2,0.5837505930348447,0.6842105263157895,0.7857142857142856,0.7061538461538461,-1765286907.5890906
sage,256,0.0,0.001,2,0.6017134848393892,0.6842105263157895,0.8064516129032258,0.703076923076923,-1765286909.6167707
sage,256,0.0,0.01,2,0.6020178669377377,0.7368421052631579,0.8076923076923077,0.7092307692307692,-1765286910.0807989
sage,256,0.0,0.05,2,0.6257646460282175,0.7368421052631579,0.8000000000000002,0.7123076923076923,-1765286911.2464087
sage,256,0.01,0.001,2,0.5955959997679058,0.7631578947368421,0.8235294117647058,0.7046153846153845,-1765286911.524095
sage,256,0.01,0.01,2,0.608804072204389,0.7368421052631579,0.8076923076923077,0.7061538461538461,-1765286913.5683897
sage,256,0.01,0.05,2,0.6302688404133445,0.6842105263157895,0.76,0.7123076923076923,-1765286916.1819646
sage,256,0.05,0.001,2,0.6041676433462846,0.7631578947368421,0.8235294117647058,0.7061538461538461,-1765286916.3899739
sage,256,0.05,0.01,2,0.605716768063997,0.7105263157894737,0.7843137254901961,0.7076923076923076,-1765286919.5808418
sage,256,0.05,0.05,2,0.6123006814404538,0.7368421052631579,0.8076923076923077,0.7123076923076923,-1765286921.2459357
sage,256,0.1,0.001,2,0.5893805905392295,0.6578947368421053,0.7796610169491526,0.7107692307692307,-1765286923.3562984
sage,256,0.1,0.01,2,0.6035733317074022,0.7368421052631579,0.8000000000000002,0.7092307692307692,-1765286924.010662
sage,256,0.1,0.05,2,0.6164426301655016,0.7368421052631579,0.8076923076923077,0.7107692307692307,-1765286926.0764537
sage,256,0.25,0.001,2,0.5891969956849751,0.6578947368421053,0.7796610169491526,0.7092307692307692,-1765286927.4114435
sage,256,0.25,0.01,2,0.6207895529897589,0.6578947368421053,0.7719298245614036,0.6938461538461539,-1765286928.5795877
sage,256,0.25,0.05,2,0.613205959922389,0.7105263157894737,0.7843137254901961,0.703076923076923,-1765286929.2556086
sage,256,0.5,0.001,2,0.5978681319638303,0.7631578947368421,0.8235294117647058,0.7092307692307692,-1765286930.0935574
sage,256,0.5,0.01,2,0.5881611046038175,0.7631578947368421,0.8235294117647058,0.7076923076923077,-1765286932.7428133
sage,256,0.5,0.05,2,0.6080221408291867,0.7105263157894737,0.7843137254901961,0.7138461538461538,-1765286935.177771
