model,params,num_params,train_time_sec,feature_dim,seed,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_inference_time_sec,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_inference_time_sec,support_ratio
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",309.0,0.1451508998870849,309,1,0.8333333333333334,0.8846153846153846,0.8125,0.8193979933110368,0.98125,0.000201940536499,1.0,1.0,1.0,1.0,1.0,8.893013000488281e-05,0.2
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",309.0,0.1203241348266601,309,1,0.8888888888888888,0.9166666666666669,0.875,0.8831168831168831,0.96875,0.0001919269561767,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,1.0,8.893013000488281e-05,0.2
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0111370086669921,309,1,0.5555555555555556,0.2777777777777778,0.5,0.3571428571428571,0.86875,0.0006258487701416,0.7,0.8235294117647058,0.6666666666666666,0.6428571428571428,1.0,0.0005340576171875,0.2
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0095980167388916,309,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.0005090236663818,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,1.0,0.0004279613494873,0.2
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.1035127639770507,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.8375,0.0145068168640136,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,1.0,0.01200532913208,0.3
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1858608722686767,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.83125,0.0146770477294921,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,1.0,0.0257089138031005,0.3
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1034059524536132,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.83125,0.0144381523132324,0.95,0.9583333333333331,0.9444444444444444,0.948849104859335,1.0,0.0145967006683349,0.3
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.2091379165649414,177,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.83125,0.0572819709777832,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,1.0,0.0259840488433837,0.3
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",177.0,0.1297531127929687,177,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.91875,0.0001857280731201,1.0,1.0,1.0,1.0,1.0,8.296966552734375e-05,0.3
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",177.0,0.1194798946380615,177,1,0.8888888888888888,0.9,0.9,0.8888888888888888,0.91875,0.0001869201660156,0.9,0.9090909090909092,0.9090909090909092,0.9,0.9595959595959596,8.511543273925781e-05,0.3
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0069861412048339,177,1,0.6666666666666666,0.8125,0.625,0.5846153846153846,0.86875,0.0003712177276611,0.8,0.8666666666666667,0.7777777777777778,0.7802197802197802,1.0,0.0003678798675537,0.3
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.006354808807373,177,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.0003619194030761,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,1.0,0.0003111362457275,0.3
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.0913889408111572,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.85625,0.0145258903503417,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9696969696969696,0.0140039920806884,0.4
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.1832740306854248,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.84375,0.0148298740386962,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9696969696969696,0.0249230861663818,0.4
RandomForest,"{""n_estimators"": 100, ""max_depth"": 10}",,0.1122958660125732,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.8687499999999999,0.0129897594451904,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9696969696969696,0.012930154800415,0.4
RandomForest,"{""n_estimators"": 200, ""max_depth"": 20}",,0.1825728416442871,100,1,0.7777777777777778,0.7916666666666667,0.7625,0.7662337662337663,0.84375,0.0267500877380371,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9696969696969696,0.0146710872650146,0.4
LinearSVM,"{""type"": ""linear"", ""C"": 0.1}",100.0,0.1160609722137451,100,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.8562500000000001,0.0001900196075439,0.85,0.8541666666666667,0.8434343434343434,0.8465473145780051,0.9292929292929294,8.392333984375e-05,0.4
LinearSVM,"{""type"": ""linear"", ""C"": 1.0}",100.0,0.1065547466278076,100,1,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.88125,0.0001900196075439,0.9,0.898989898989899,0.898989898989899,0.898989898989899,0.9494949494949496,8.702278137207031e-05,0.4
RBFSVM,"{""type"": ""rbf"", ""C"": 1.0, ""gamma"": ""scale""}",,0.0050680637359619,100,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.0003530979156494,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,0.9696969696969696,0.000349998474121,0.4
RBFSVM,"{""type"": ""rbf"", ""C"": 5.0, ""gamma"": ""scale""}",,0.0046319961547851,100,1,0.7777777777777778,0.8571428571428572,0.75,0.75,0.89375,0.0003259181976318,0.9,0.9230769230769232,0.8888888888888888,0.8958333333333333,0.9797979797979798,0.0003108978271484,0.4
RandomForest,"{""n_estimators"": 100, ""max_depth"": null}",,0.0920422077178955,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.9125,0.0146329402923583,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.88,0.014451265335083,0.1
RandomForest,"{""n_estimators"": 200, ""max_depth"": null}",,0.2000210285186767,800,2,0.7222222222222222,0.7461538461538462,0.7,0.6989966555183946,0.91875,0.0143139362335205,0.8,0.7450980392156863,0.6666666666666667,0.6875,0.88,0.0144011974334716,0.1
